Profit: -0.23065873976275952, Difference: -0.006942788761548968
Profit: -0.22492144890912869, Difference: -0.01147907156172323
Profit: -0.27754860512473556, Difference: 0.026704186535738472
Profit: -0.23241151312350894, Difference: -0.04188715168459112
Profit: -0.5767475190033764, Difference: -0.11763149149213348
Profit: -0.3052585252839606, Difference: 0.00987573730826341
Profit: -0.38858343109669136, Difference: 0.0
Profit: -0.30369643701240534, Difference: 0.0578899283803338
Profit: -0.2741929659489415, Difference: 0.04612992543530936
Profit: -0.41654980685558485, Difference: 0.1620560621532121
Profit: -0.40664614065327953, Difference: -0.013831473653823423
Profit: -0.3870982452226741, Difference: 0.0869146956507052
Profit: -0.41689042204930615, Difference: -0.0023074537141525298
Profit: -0.5383365080334812, Difference: 0.08420704280518976
Profit: -0.25323928526886164, Difference: -0.0361961098846848
Profit: -0.30108860003930715, Difference: 0.05003964877180067
Profit: -0.48672665517334224, Difference: 0.13033886416397422
Profit: -0.2850922403499112, Difference: -0.03361531258849482
Profit: -0.3534354793260803, Difference: -0.0649916344114132
Profit: -0.24621143549424573, Difference: -0.0027362992446029466
Profit: -0.3803030897760209, Difference: -0.08046728263811076
Profit: -0.42414972439499365, Difference: -0.4152276763398248
Profit: -0.3186116875670564, Difference: -0.181569013319546
Profit: -0.2612043506627231, Difference: -0.040916977229528584
Profit: -0.2687771442738409, Difference: 0.015324404249483337
Profit: -0.31206609617777303, Difference: -0.0009873562876521191
Profit: -0.32934483121157143, Difference: -0.0014725970913502806
